"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","landcover16","EASTING","NORTHING","pack","used","usedFactor"
4,4,4,4,3,4,2015.53333333327,933.255665813286,6653.955078125,1,591431,5719471,"Red Deer",1,"1"
4,4,4,4,3,4,2015.53333333327,933.255665813286,6653.955078125,1,591431,5719471,"Red Deer",1,"1"
4,4,4,4,3,4,2015.53333333327,933.255665813286,6653.955078125,1,591431,5719471,"Red Deer",1,"1"
,,,,,,1853.79288888829,12.5865595331416,1216.85192871094,2,591620,5732570,"Red Deer",1,"1"
,,,,,,1853.79288888829,12.5865595331416,1216.85192871094,2,591620,5732570,"Red Deer",1,"1"
,,,,,,1853.79288888829,12.5865595331416,1216.85192871094,2,591620,5732570,"Red Deer",1,"1"
3,3,3,4,4,3,2035.07333333309,30.8216010761394,217.044189453125,3,568917,5711084,"Red Deer",1,"1"
3,3,3,4,4,3,2035.07333333309,30.8216010761394,217.044189453125,3,568917,5711084,"Red Deer",1,"1"
3,3,3,4,4,3,2035.07333333309,30.8216010761394,217.044189453125,3,568917,5711084,"Red Deer",1,"1"
3,4,3,3,1,3,1874.21955555507,137.413440466858,4791.41455078125,2,568930,5700560,"Red Deer",1,"1"
3,4,3,3,1,3,1874.21955555507,137.413440466858,4791.41455078125,2,568930,5700560,"Red Deer",1,"1"
3,4,3,3,1,3,1874.21955555507,137.413440466858,4791.41455078125,2,568930,5700560,"Red Deer",1,"1"
4,4,4,3,3,4,1742.53999999982,72.5865595331416,7221.58447265625,12,582877,5725542,"Red Deer",1,"1"
4,4,4,3,3,4,1742.53999999982,72.5865595331416,7221.58447265625,12,582877,5725542,"Red Deer",1,"1"
,,,,,,2065.73333333383,2338.26003055495,2980.55224609375,2,585060,5740190,"Red Deer",1,"1"
,,,,,,2065.73333333383,2338.26003055495,2980.55224609375,2,585060,5740190,"Red Deer",1,"1"
3,5,4,1,1,4,1766.00666666654,218.134909904978,175.000015258789,2,555853,5706978,"Red Deer",1,"1"
