"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
1,1,1,1,4,1,2841.69333333202,4027.20810010124,10062.0300415811,"Red Deer",0
3,3,3,1,1,3,2330.7471111106,3986.83473308246,3871.83885655889,"Red Deer",0
1,1,1,1,1,1,2656.37333333384,1848.13749782943,9499.0367519018,"Red Deer",0
1,1,1,5,5,3,2479.62088888892,2720.69205082032,3417.88778375171,"Red Deer",0
1,1,1,1,1,1,2927.25333333334,4993.42121901159,4874.67101821568,"Red Deer",0
4,6,3,1,1,5,2316.89333333351,2197.33575096424,2091.4183557301,"Red Deer",0
4,5,4,3,3,4,1968.37999999988,199.6926710926,6753.16405712397,"Red Deer",0
,,,,,,1988.22044444429,910.245699317137,846.806989323876,"Red Deer",0
,,,,,,2693.02666666634,768.976434159847,1911.55952661606,"Red Deer",0
1,3,3,3,6,3,1915.01377777795,2608.19264146504,2424.17871656366,"Red Deer",0
1,1,1,1,1,1,2781.52266666699,3269.97426670064,5710.09202886074,"Red Deer",0
1,1,1,1,1,1,2490.76755555458,2927.13457688797,5706.56123090052,"Red Deer",0
1,1,1,1,4,1,2610.89999999887,4528.22844735701,8293.29050537364,"Red Deer",0
4,4,4,1,3,4,1671.71999999981,70.7281952878883,1796.72408567823,"Red Deer",0
4,3,3,5,6,4,2186.72000000032,376.12533355691,1522.95581392199,"Red Deer",0
1,1,1,1,4,1,2262.2733333339,1489.27786453628,1606.21890617386,"Red Deer",0
,,,,,,1908.48711111071,47.1032418302626,1172.06812341882,"Red Deer",0
1,1,1,1,1,1,2322.04622222188,3464.69589281761,4677.44341386687,"Red Deer",0
4,4,4,3,1,4,1930.18088888946,82.9015205912834,8028.56902484073,"Red Deer",0
1,1,1,1,4,1,2660.22622222136,3673.0112045207,9934.7755394414,"Red Deer",0
1,1,1,1,4,1,2357.31955555595,394.184956195616,281.917583039147,"Red Deer",0
1,1,1,1,4,1,2554.56666666718,922.884307853134,6684.29106617553,"Red Deer",0
3,3,4,6,5,4,1946.2871111116,2171.91725611071,3268.5638595068,"Red Deer",0
1,1,1,1,4,1,2984.52133333545,3466.49214695413,10410.9462853565,"Red Deer",0
3,3,3,1,1,3,2033.33377777758,30.8216010761394,149.684807302283,"Red Deer",0
4,5,4,3,3,4,1922.96533333252,385.255570672788,617.909828091796,"Red Deer",0
4,1,4,1,1,4,1708.78000000006,1161.19158746075,1765.99042920603,"Red Deer",0
4,5,4,1,4,4,1614.70622222237,829.511042245507,620.466330970149,"Red Deer",0
3,4,4,4,4,4,2263.90711111147,209.148987970743,9342.8077245934,"Red Deer",0
,,,,,,1892.85999999902,1156.13669603888,1731.31557861537,"Red Deer",0
4,3,4,4,1,4,2162.62666666667,957.761954251357,12807.9707346078,"Red Deer",0
4,4,4,4,3,4,2055.09333333407,716.304974639823,5089.99743883321,"Red Deer",0
1,1,1,1,1,1,2607.47333333353,3521.86847765993,3335.72080084901,"Red Deer",0
1,1,1,1,1,1,2538.31955555476,3171.0358267712,10359.4260411359,"Red Deer",0
